Voltage control
Voltage is set directly according to setter.

Constant setpoint
Value (V)
0

Stop buffer (mm), Syringe diameter (mm)
5,20.5

Time (ms),Force (N),Flowrate (ml/s),Control action (8 bit),Loadcell (24 bit),Ticks (rotations)
16057,-3.51920,0.00000,0,-122373,1
16148,-3.51978,0.00000,0,-122393,1
16238,-3.51806,0.00000,0,-122334,1
16330,-3.51917,0.00000,0,-122372,1
16421,-3.51952,0.00000,0,-122384,1
16512,-3.51914,0.00000,0,-122371,1
16603,-3.51902,0.00000,0,-122367,1
16693,-3.51876,0.00000,0,-122358,1
16784,-3.52033,0.00000,0,-122412,1
16875,-3.51969,0.00000,0,-122390,1
16967,-3.51870,0.00000,0,-122356,1
17058,-3.51969,0.00000,0,-122390,1
17148,-3.51931,0.00000,0,-122377,1
17239,-3.51792,0.00000,0,-122329,1
17330,-3.51864,0.00000,0,-122354,1
17421,-3.51958,0.00000,0,-122386,1
17511,-3.51879,0.00000,0,-122359,1
17602,-3.51856,0.00000,0,-122351,1
17694,-3.51759,0.00000,0,-122318,1
17785,-3.51751,0.00000,0,-122315,1
17876,-3.51800,0.00000,0,-122332,1
17966,-3.51850,0.00000,0,-122349,1
18057,-3.51748,0.00000,0,-122314,1
18148,-3.51722,0.00000,0,-122305,1
18239,-3.51733,0.00000,0,-122309,1
18330,-3.51864,0.00000,0,-122354,1
18421,-3.52030,0.00000,0,-122411,1
18512,-3.51955,0.00000,0,-122385,1
18603,-3.52080,0.00000,0,-122428,1
18694,-3.51893,0.00000,0,-122364,1
18784,-3.51794,0.00000,0,-122330,1
18875,-3.51803,0.00000,0,-122333,1
18966,-3.51876,0.00000,0,-122358,1
19058,-3.51742,0.00000,0,-122312,1
19149,-3.51634,0.00000,0,-122275,1
19239,-3.51768,0.00000,0,-122321,1
19330,-3.51867,0.00000,0,-122355,1
19421,-3.51698,0.00000,0,-122297,1
19512,-3.51809,0.00000,0,-122335,1
19603,-3.51899,0.00000,0,-122366,1
19693,-3.51815,0.00000,0,-122337,1
19785,-3.51841,0.00000,0,-122346,1
19876,-3.51739,0.00000,0,-122311,1
19967,-3.51765,0.00000,0,-122320,1
20058,-3.51958,0.00000,0,-122386,1
20149,-3.51786,0.00000,0,-122327,1
20239,-3.51658,0.00000,0,-122283,1
20330,-3.51841,0.00000,0,-122346,1
20421,-3.51853,0.00000,0,-122350,1
20513,-3.51859,0.00000,0,-122352,1
20604,-3.51955,0.00000,0,-122385,1
20694,-3.51794,0.00000,0,-122330,1
20785,-3.51826,0.00000,0,-122341,1
20876,-3.51923,0.00000,0,-122374,1
20967,-3.51739,0.00000,0,-122311,1
21057,-3.51824,0.00000,0,-122340,1
21149,-3.51856,0.00000,0,-122351,1
21240,-3.51911,0.00000,0,-122370,1
21331,-3.51762,0.00000,0,-122319,1
21422,-3.51684,0.00000,0,-122292,1
21512,-3.51838,0.00000,0,-122345,1
21603,-3.51861,0.00000,0,-122353,1
21694,-3.51794,0.00000,0,-122330,1
21785,-3.51745,0.00000,0,-122313,1
21877,-3.51806,0.00000,0,-122334,1
21967,-3.51844,0.00000,0,-122347,1
22058,-3.51885,0.00000,0,-122361,1
22149,-3.51826,0.00000,0,-122341,1
22240,-3.51678,0.00000,0,-122290,1
22330,-3.51765,0.00000,0,-122320,1
22421,-3.51905,0.00000,0,-122368,1
22513,-3.51742,0.00000,0,-122312,1
22604,-3.51745,0.00000,0,-122313,1
22695,-3.51675,0.00000,0,-122289,1
22785,-3.51771,0.00000,0,-122322,1
22876,-3.52077,0.00000,0,-122427,1
22967,-3.53723,0.00000,0,-122992,1
23058,-3.55782,0.00000,0,-123699,1
23148,-3.56204,0.00000,0,-123844,1
23240,-3.56149,0.00000,0,-123825,1
23331,-3.56277,0.00000,0,-123869,1
23422,-3.56227,0.00000,0,-123852,1
23513,-3.56134,0.00000,0,-123820,1
23603,-3.56262,0.00000,0,-123864,1
23694,-3.56417,0.00000,0,-123917,1
23785,-3.56358,0.00000,0,-123897,1
23876,-3.56242,0.00000,0,-123857,1
23968,-3.56140,0.00000,0,-123822,1
24058,-3.56198,0.00000,0,-123842,1
24149,-3.56271,0.00000,0,-123867,1
24240,-3.56309,0.00000,0,-123880,1
24331,-3.56283,0.00000,0,-123871,1
24421,-3.56414,0.00000,0,-123916,1
24512,-3.56227,0.00000,0,-123852,1
24604,-3.56335,0.00000,0,-123889,1
24695,-3.56466,0.00000,0,-123934,1
24786,-3.56300,0.00000,0,-123877,1
24876,-3.56207,0.00000,0,-123845,1
24967,-3.56201,0.00000,0,-123843,1
25058,-3.56143,0.00000,0,-123823,1
25149,-3.56218,0.00000,0,-123849,1
25240,-3.56035,0.00000,0,-123786,1
25331,-3.56122,0.00000,0,-123816,1
25422,-3.56204,0.00000,0,-123844,1
25513,-3.56251,0.00000,0,-123860,1
25604,-3.56204,0.00000,0,-123844,1
25694,-3.56259,0.00000,0,-123863,1
25785,-3.56329,0.00000,0,-123887,1
25876,-3.56457,0.00000,0,-123931,1
25967,-3.56457,0.00000,0,-123931,1
26059,-3.56201,0.00000,0,-123843,1
26149,-3.56251,0.00000,0,-123860,1
26240,-3.56251,0.00000,0,-123860,1
26331,-3.56204,0.00000,0,-123844,1
26422,-3.56329,0.00000,0,-123887,1
26512,-3.56245,0.00000,0,-123858,1
26603,-3.56210,0.00000,0,-123846,1
26695,-3.56204,0.00000,0,-123844,1
26786,-3.56146,0.00000,0,-123824,1
26877,-3.56154,0.00000,0,-123827,1
26967,-3.56184,0.00000,0,-123837,1
27058,-3.56251,0.00000,0,-123860,1
27149,-3.56227,0.00000,0,-123852,1
27240,-3.56201,0.00000,0,-123843,1
27331,-3.56038,0.00000,0,-123787,1
27422,-3.56087,0.00000,0,-123804,1
27513,-3.56216,0.00000,0,-123848,1
